Startnumber;Last_name;First_name;Country;PPP_chapter;Gender;QTTR
1293;Kaufmann;Annett;GER;SV DJK Kolbermoor;F;2428
1294;Putuntica;Andrei;MDA;TTC Waldniel;M;2427
1295;Monteiro;Joao Pedro Andrade Selgas;POR;Russia;M;2427
1296;Movileanu;Darius;ROU;Romania;M;2427
1297;Hua;Lei;CHN;China;M;2427
1298;Faraji;Benyamin;IRI;Sportverein Union Velbert 2011 e.V.;M;2426
1299;Betelu;Remi;FRA;France;M;2426
1300;Etim;Orok;NGR;Nigeria;M;2426
1301;Tachikawa;Yuna;JPN;Japan;F;2426
1302;Suzuki;Hayate;JPN;TTF Liebherr Ochsenhausen;M;2425
1303;Jang;Seongil;KOR;South Korea (Republic);M;2424
1304;Lim;Yunoh;KOR;South Korea (Republic);M;2424
1305;Ayanwale;Jamiu;NGR;Nigeria;M;2424
1306;Noda;Sota;JPN;TTC immoXone Bietigheim-Bissingen;M;2424
1307;Burgos;Nicolas;CHI;MTV Jever;M;2423
1308;Han;Feier;CHN;China;F;2423
1309;Sun;Mingyang;CHN;ttc berlin eastside;F;2423
1310;Lee;Seunghwan;KOR;South Korea (Republic);M;2423
1311;Kagawa;Sakurako;JPN;Japan;F;2423
1312;Li;Jie;NED;Netherlands;F;2422
1313;Li;Yan Jun;TPE;Austria;M;2422
1314;Ono;Daito;JPN;Japan;M;2422
1315;Meissner;Cedric;GER;1. FC Saarbr�cken-TT;M;2421
1316;Mutti;Matteo;ITA;Italy;M;2421
1317;Lee;Seungeun;KOR;South Korea (Republic);F;2421
1318;Zhao;Wangqi;CHN;China;F;2421
1319;Drinkhall;Paul;GBR;TSV Windsbach;M;2420
1320;Sun;Sinan;CHN;China;F;2420
1321;Jeon;Jihee;KOR;South Korea (Republic);F;2419
1322;Lee;Seungsoo;KOR;South Korea (Republic);M;2419
1323;El-Beiali;Mohamed;EGY;Egypt;M;2419
1324;Tsuboi;Gustavo;BRA;TSV Windsbach;M;2418
1325;Kim;Gaon;KOR;TTC Fortuna Passau;M;2418
1326;Ho;Kwan Kit;HKG;Hongkong;M;2417
1327;Yang;Huize;CHN;China;F;2417
1328;Shintani;Rio;JPN;Japan;F;2417
1329;Li;Xiaoyi;CHN;China;F;2417
1330;Cheng;I-Ching;TPE;Taiwan;F;2416
1331;Allegro;Martin;BEL;TTC Zugbr�cke Grenzau;M;2416
1332;Rembert;Bastien;FRA;France;M;2416
1333;Tsai;Tse-An;TPE;Taiwan;M;2416
1334;Bluhm;Florian;GER;1. FC K�ln 01/07 e.V.;M;2415
1335;Grebnev;Maksim;RUS;SSV Ulm 1846;M;2415
1336;Mori;Sakura;JPN;Japan;F;2414
1337;Bhattacharjee;Ankur;IND;India;M;2414
1338;Ito;Yuta;JPN;Japan;M;2413
1339;Pyon;Song Gyong;PRK;North Korea (DPR);F;2412
1340;Polcanova;Sofia;AUT;Austria;F;2411
1341;Wong;Qi Shen;MAS;Malaysia;M;2411
1342;Umeki;Daichi;JPN;Japan;M;2411
1343;Floritz;Philipp;GER;Oldenburger TB;M;2410
1344;Tokic;Bojan;SLO;TSV Windsbach;M;2410
